label,n_trades,total_pnl,total_fees,avg_pnl_per_trade,win_rate,sharpe,max_drawdown,trading_days,edge_threshold,strategy
A_hold_et0.02,1071,-18766.625,17254.125,-17.52252567693744,0.07376283846872082,-55.254914313151374,-18726.97499999999,351,0.02,A_hold
B_convergence_et0.02,1071,-19231.719715794097,17254.125,-17.956787783187767,0.07376283846872082,-62.75057184713966,-19192.069715794092,351,0.02,B_convergence
A_hold_et0.05,878,-16615.699999999997,14875.699999999999,-18.92448747152619,0.023917995444191344,-54.72857974483475,-16576.04999999999,345,0.05,A_hold
B_convergence_et0.05,878,-16836.01885128357,14875.699999999999,-19.17542010396762,0.023917995444191344,-61.05582550634323,-16796.368851283558,345,0.05,B_convergence
A_hold_et0.08,776,-14988.324999999999,13285.824999999999,-19.31485180412371,0.01288659793814433,-52.8129711039554,-14948.67499999997,340,0.08,A_hold
B_convergence_et0.08,776,-15122.976868816606,13285.824999999999,-19.488372253629645,0.01288659793814433,-58.16146541194354,-15083.326868816579,340,0.08,B_convergence
A_hold_et0.1,729,-14257.974999999999,12550.474999999999,-19.558264746227707,0.006858710562414266,-54.32919323145089,-14218.32499999997,338,0.1,A_hold
B_convergence_et0.1,729,-14344.155232757254,12550.474999999999,-19.676481800764407,0.006858710562414266,-58.127102793714286,-14304.505232757225,338,0.1,B_convergence
A_hold_et0.15,636,-12607.474999999999,10999.974999999999,-19.823073899371067,0.0015723270440251573,-47.70488397019079,-12567.824999999979,337,0.15,A_hold
B_convergence_et0.15,636,-12640.59807457736,10999.974999999999,-19.875154205310313,0.0015723270440251573,-49.075101361377676,-12600.94807457734,337,0.15,B_convergence
A_hold_et0.2,572,-11416.625,9904.125,-19.959134615384617,0.0,-44.778725751661824,-11376.974999999979,335,0.2,A_hold
B_convergence_et0.2,572,-11416.625,9904.125,-19.959134615384617,0.0,-44.778725751661824,-11376.974999999979,335,0.2,B_convergence
A_hold_et0.3,442,-8830.074999999999,7652.574999999999,-19.977545248868775,0.0,-40.78965829143836,-8790.42499999997,335,0.3,A_hold
B_convergence_et0.3,442,-8830.074999999999,7652.574999999999,-19.977545248868775,0.0,-40.78965829143836,-8790.42499999997,335,0.3,B_convergence
