label,n_trades,total_pnl,total_fees,avg_pnl_per_trade,win_rate,sharpe,max_drawdown,trading_days,edge_threshold,strategy
A_hold_et0.02,756,-14441.3,12781.3,-19.102248677248678,0.02513227513227513,-94.79748879027765,-14223.225,64,0.02,A_hold
B_convergence_et0.02,756,-14580.428054474514,12781.3,-19.28628049533666,0.02513227513227513,-98.5934364964116,-14362.353054474512,64,0.02,B_convergence
A_hold_et0.05,642,-12599.525000000001,11057.025000000001,-19.625428348909658,0.006230529595015576,-88.73073415087117,-12401.275000000005,64,0.05,A_hold
B_convergence_et0.05,642,-12680.32237511186,11057.025000000001,-19.751280958118162,0.006230529595015576,-91.14105924207911,-12482.072375111864,64,0.05,B_convergence
A_hold_et0.08,583,-11518.325,10065.825,-19.756989708404802,0.003430531732418525,-82.52073693388823,-11320.075000000004,64,0.08,A_hold
B_convergence_et0.08,583,-11556.291229723705,10065.825,-19.822111886318535,0.003430531732418525,-83.15872601534883,-11358.041229723709,64,0.08,B_convergence
A_hold_et0.1,535,-10609.8,9249.8,-19.831401869158878,0.001869158878504673,-84.78254218341485,-10431.374999999998,64,0.1,A_hold
B_convergence_et0.1,535,-10637.655940269913,9249.8,-19.883469047233483,0.001869158878504673,-85.47489604796515,-10459.23094026991,64,0.1,B_convergence
A_hold_et0.15,461,-9133.449999999997,7968.449999999997,-19.812255965292835,0.0021691973969631237,-72.10314565783601,-8974.85,64,0.15,A_hold
B_convergence_et0.15,461,-9161.30594026991,7968.449999999997,-19.87268099841629,0.0021691973969631237,-71.96534407521251,-9002.705940269912,64,0.15,B_convergence
A_hold_et0.2,407,-8062.899999999997,7032.9,-19.810565110565104,0.002457002457002457,-60.07465176228809,-7924.125,64,0.2,A_hold
B_convergence_et0.2,407,-8090.755940269909,7032.9,-19.87900722425039,0.002457002457002457,-60.09005508040897,-7951.980940269912,64,0.2,B_convergence
A_hold_et0.3,320,-6416.075000000001,5538.575000000001,-20.050234375000002,0.0,-57.63081874395506,-6336.7750000000015,63,0.3,A_hold
B_convergence_et0.3,320,-6416.075000000001,5538.575000000001,-20.050234375000002,0.0,-57.63081874395506,-6336.7750000000015,63,0.3,B_convergence
